seq_len,official_ms,fa_with_cuda_ms,cuda_vs_official_x
128,0.014550399780273438,0.03584,2.46316256193797
256,0.014387199282646179,0.0632,4.392793813333201
512,0.023904000222682954,0.2048,8.56760366851325
1024,0.07685120105743408,0.701152,9.123500873798967
2048,0.2751888036727905,2.72166,9.89015528130335
4096,1.064857578277588,10.6831,10.032421441071925
8192,6.1545360565185545,59.4255,9.655561272902073
16384,25.658111572265625,197.246,7.687471443268928
32768,104.3482666015625,711.564,6.8191262123883245
