seq_len,naive_fwd_ms,naive_fwd_mb,flash_fwd_ms,flash_fwd_mb,naive_fb_ms,naive_fb_mb,flash_fb_ms,flash_fb_mb
128,0.068608,12,0.081632,8.01562,0.187392,16,0.319488,8.03125
256,0.207872,32,0.16368,16.0312,0.619232,48,0.648192,16.0625
512,0.740352,96,0.498688,32.0625,2.43917,160,1.64534,32.125
1024,3.02182,320,1.40941,64.125,9.72186,576,4.82509,64.25
2048,11.1903,1152,4.67558,128.25,37.9023,2176,15.8843,128.5
4096,44.7398,4352,16.1556,256.5,152.525,8448,55.5192,257
8192,183.22,16896,59.5487,513,-1,-1,208.687,514
16384,-1,-1,229.244,1026,-1,-1,807.418,1028
32768,-1,-1,900.523,2052,-1,-1,3190.91,2056
